Código;Descripción
W87.88;Exposición a corriente eléctrica no especificada, otro lugar especificado, mientras está ocupado en otras actividades especificadas
W87.89;Exposición a corriente eléctrica no especificada, otro lugar especificado, durante una actividad no especificada
W87.90;Exposición a corriente eléctrica no especificada, lugar no especificado, mientras realiza una actividad deportiva
W87.91;Exposición a corriente eléctrica no especificada, lugar no especificado, mientras realiza una actividad de recreación
W87.92;Exposición a corriente eléctrica no especificada, lugar no especificado, mientras trabaja en forma remunerada
W87.93;Exposición a corriente eléctrica no especificada, lugar no especificado, mientras está ocupado en otros tipos de trabajo
W87.94;Exposición a corriente eléctrica no especificada, lugar no especificado, mientras descansa, duerme, come o realiza otras actividades vitales
W87.98;Exposición a corriente eléctrica no especificada, lugar no especificado, mientras está ocupado en otras actividades especificadas
W87.99;Exposición a corriente eléctrica no especificada, lugar no especificado, durante una actividad no especificada
W88.00;Exposición a radiación ionizante, vivienda, mientras realiza una actividad deportiva
W88.01;Exposición a radiación ionizante, vivienda, mientras realiza una actividad de recreación
W88.02;Exposición a radiación ionizante, vivienda, mientras trabaja en forma remunerada
W88.03;Exposición a radiación ionizante, vivienda, mientras está ocupado en otros tipos de trabajo
W88.04;Exposición a radiación ionizante, vivienda, mientras descansa, duerme, come o realiza otras actividades vitales
W88.08;Exposición a radiación ionizante, vivienda, mientras está ocupado en otras actividades especificadas
W88.09;Exposición a radiación ionizante, vivienda, durante una actividad no especificada
W88.10;Exposición a radiación ionizante, institución residencial, mientras realiza una actividad deportiva
W88.11;Exposición a radiación ionizante, institución residencial, mientras realiza una actividad de recreación
W88.12;Exposición a radiación ionizante, institución residencial, mientras trabaja en forma remunerada
W88.13;Exposición a radiación ionizante, institución residencial, mientras está ocupado en otros tipos de trabajo
W88.14;Exposición a radiación ionizante, institución residencial, mientras descansa, duerme, come o realiza otras actividades vitales
W88.18;Exposición a radiación ionizante, institución residencial, mientras está ocupado en otras actividades especificadas
W88.19;Exposición a radiación ionizante, institución residencial, durante una actividad no especificada
W88.20;Exposición a radiación ionizante, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad deportiva
W88.21;Exposición a radiación ionizante, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad de recreación
W88.22;Exposición a radiación ionizante, escuelas, otras instituciones y áreas administrativas públicas, mientras trabaja en forma remunerada
W88.23;Exposición a radiación ionizante, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otros tipos de trabajo
W88.24;Exposición a radiación ionizante, escuelas, otras instituciones y áreas administrativas públicas, mientras descansa, duerme, come o realiza otras actividades vitales
W88.28;Exposición a radiación ionizante, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otras actividades especificadas
W88.29;Exposición a radiación ionizante, escuelas, otras instituciones y áreas administrativas públicas, durante una actividad no especificada
W88.30;Exposición a radiación ionizante, áreas de deporte y atletismo, mientras realiza una actividad deportiva
W88.31;Exposición a radiación ionizante, áreas de deporte y atletismo, mientras realiza una actividad de recreación
W88.32;Exposición a radiación ionizante, áreas de deporte y atletismo, mientras trabaja en forma remunerada
W88.33;Exposición a radiación ionizante, áreas de deporte y atletismo, mientras está ocupado en otros tipos de trabajo
W88.34;Exposición a radiación ionizante, áreas de deporte y atletismo, mientras descansa, duerme, come o realiza otras actividades vitales
W88.38;Exposición a radiación ionizante, áreas de deporte y atletismo, mientras está ocupado en otras actividades especificadas
W88.39;Exposición a radiación ionizante, áreas de deporte y atletismo, durante una actividad no especificada
W88.40;Exposición a radiación ionizante, calles y carreteras, mientras realiza una actividad deportiva
W88.41;Exposición a radiación ionizante, calles y carreteras, mientras realiza una actividad de recreación
W88.42;Exposición a radiación ionizante, calles y carreteras, mientras trabaja en forma remunerada
W88.43;Exposición a radiación ionizante, calles y carreteras, mientras está ocupado en otros tipos de trabajo
W88.44;Exposición a radiación ionizante, calles y carreteras, mientras descansa, duerme, come o realiza otras actividades vitales
W88.48;Exposición a radiación ionizante, calles y carreteras, mientras está ocupado en otras actividades especificadas
W88.49;Exposición a radiación ionizante, calles y carreteras, durante una actividad no especificada
W88.50;Exposición a radiación ionizante, comercio y área de servicios, mientras realiza una actividad deportiva
W88.51;Exposición a radiación ionizante, comercio y área de servicios, mientras realiza una actividad de recreación
W88.52;Exposición a radiación ionizante, comercio y área de servicios, mientras trabaja en forma remunerada
W88.53;Exposición a radiación ionizante, comercio y área de servicios, mientras está ocupado en otros tipos de trabajo
W88.54;Exposición a radiación ionizante, comercio y área de servicios, mientras descansa, duerme, come o realiza otras actividades vitales
W88.58;Exposición a radiación ionizante, comercio y área de servicios, mientras está ocupado en otras actividades especificadas
W88.59;Exposición a radiación ionizante, comercio y área de servicios, durante una actividad no especificada
W88.60;Exposición a radiación ionizante, área industrial y de la construcción, mientras realiza una actividad deportiva
W88.61;Exposición a radiación ionizante, área industrial y de la construcción, mientras realiza una actividad de recreación
W88.62;Exposición a radiación ionizante, área industrial y de la construcción, mientras trabaja en forma remunerada
W88.63;Exposición a radiación ionizante, área industrial y de la construcción, mientras está ocupado en otros tipos de trabajo
W88.64;Exposición a radiación ionizante, área industrial y de la construcción, mientras descansa, duerme, come o realiza otras actividades vitales
W88.68;Exposición a radiación ionizante, área industrial y de la construcción, mientras está ocupado en otras actividades especificadas
W88.69;Exposición a radiación ionizante, área industrial y de la construcción, durante una actividad no especificada
W88.70;Exposición a radiación ionizante, granja, mientras realiza una actividad deportiva
W88.71;Exposición a radiación ionizante, granja, mientras realiza una actividad de recreación
